# parent_GNDS	progeny_GNDS	bf	mode
# Per-branch daughters from ENDF/B-VIII.0 decay tapes (MF8/MT457 NDK
# records: RTYP decay-mode code, RFS daughter state flag, BR branching
# fraction). RTYP digits apply in emission order (ENDF-102 8.4; OpenMC
# decay.py digit table): beta- Z+1, EC/beta+ Z-1, alpha Z-2/A-4, IT
# unchanged, delayed neutrons/protons subtract emitted nucleons; the
# mode token is the initial event. SF/fission-family branches (any
# digit 6) and unknown-origin branches (RTYP 10) are dropped, so kept
# branches of strong SF emitters sum to 1-BR(SF); depletion matrices
# skip sf gains. Tapes with zero half-life or stable flags yield no
# rows (Te123 stays absent: effectively stable in this evaluation).
# Basis note: this table and half_life.tsv use ENDF/B-VIII.0 while
# decay_energy.tsv stays on ENDF/B-VII.1 (different sublibrary vintages).
# Screening-level only: use evaluated libraries for transport.
# Regenerate: python3 scripts/gen-nuclear-data.py --endf-decay8 <dir> --out <dir>.
Ba140	La140	1	beta-
Ba141	La141	1	beta-
Ba142	La142	1	beta-
Ba143	La143	1	beta-
Ba144	La144	1	beta-
Ba145	La145	1	beta-
Ba146	La146	1	beta-
Ba147	La146	0.0006	beta-
Ba147	La147	0.9994	beta-
Ba148	La147	0.004	beta-
Ba148	La148	0.996	beta-
Ba149	La148	0.0043	beta-
Ba149	La149	0.9957	beta-
Ba150	La149	0.01	beta-
Ba150	La150	0.99	beta-
Ba151	La150	0.033412	beta-
Ba151	La151	0.966588	beta-
Ba152	La151	0.050146	beta-
Ba152	La152	0.949854	beta-
Ba153	La151	6.2276e-08	beta-
Ba153	La152	0.0336439	beta-
Ba153	La153	0.966356	beta-
Be10	B10	1	beta-
Be11	B11	0.969	beta-
Be11	Li7	0.031	beta-
Be12	B12	1	beta-
Be13	Be12	1	n
Be14	B12	0.05	beta-
Be14	B13	0.81	beta-
Be14	B14	0.14	beta-
Be15	Be14	1	n
Be16	Be14	1	n
Be5	Li4	1	p
Be6	He4	1	p
Be7	Li7	1	ec/beta+
Be8	He4	1	alpha
Bh260	Db256	1	alpha
Bh261	Db257	0.904762	alpha
Bh262	Db258	0.5	alpha
Bh262	Db258	0.5	alpha
Bh262_m1	Db258	1	alpha
Bh263	Db259	1	alpha
Bh264	Db260	1	alpha
Bh265	Db261	1	alpha
Bh266	Db262	1	alpha
Bh267	Db263	1	alpha
Bh269	Db265	1	alpha
Bi184	Tl180	0.5	alpha
Bi184	Tl180	0.5	alpha
Bi184_m1	Tl180	1	alpha
Bi185	Pb184	0.9	p
Bi185	Tl181	0.1	alpha
Bi186	Tl182	1	alpha
Bi186_m1	Tl182	1	alpha
Bi187	Tl183	1	alpha
Bi187_m1	Pb187	0.5	ec/beta+
Bi187_m1	Tl183	0.5	alpha
Bi188	Tl184	1	alpha
Bi188_m1	Tl184	1	alpha
Bi189	Pb189	0.5	ec/beta+
Bi189	Tl185	0.5	alpha
Bi189_m1	Pb189	0.5	ec/beta+
Bi189_m1	Tl185	0.5	alpha
Bi190	Pb190	0.1	ec/beta+
Bi190	Tl186	0.9	alpha
Bi190_m1	Pb190	0.3	ec/beta+
Bi190_m1	Tl186	0.7	alpha
Bi191	Pb191	0.49	ec/beta+
Bi191	Tl187	0.51	alpha
Bi191_m1	Bi191	0.32	IT
Bi191_m1	Tl187	0.68	alpha
Bi192	Pb192	0.88	ec/beta+
Bi192	Tl188	0.12	alpha
Bi192_m1	Pb192	0.9	ec/beta+
Bi192_m1	Tl188	0.1	alpha
Bi193	Pb193	0.965	ec/beta+
Bi193	Tl189	0.035	alpha
Bi193_m1	Pb193	0.16	ec/beta+
Bi193_m1	Tl189	0.84	alpha
Bi194	Pb194	0.9954	ec/beta+
Bi194	Tl190	0.0046	alpha
Bi194_m1	Pb194	1	ec/beta+
Bi194_m2	Pb194	0.998	ec/beta+
Bi194_m2	Tl190	0.002	alpha
Bi195	Pb195	0.9997	ec/beta+
Bi195	Tl191	0.0003	alpha
Bi195_m1	Pb195	0.67	ec/beta+
Bi195_m1	Tl191	0.33	alpha
Bi196	Pb196	0.999988	ec/beta+
Bi196	Tl192	1.2e-05	alpha
Bi196_m1	Bi196	0.5	IT
Bi196_m1	Pb196	0.5	ec/beta+
Bi196_m2	Bi196	0.258	IT
Bi196_m2	Pb196	0.741997	ec/beta+
